"country","continent","lifeExp","pop","gdpPercap"
"Brazil","South America",229,21,105
"Germany","Europe",226,19,125
"Italy","Europe",128,18,77
"Argentina","South America",137,17,93
"France","Europe",120,15,77
"England","Europe",91,15,64
"Spain","Europe",99,15,72
"Netherlands","Europe",86,10,48
"Uruguay","South America",87,13,74
"Sweden","Europe",80,12,73
"Belgium","Europe",68,13,72
"Russia","Europe",77,11,54
"Serbia","Europe",66,12,63
"Mexico","North America",60,16,98
"Poland","Europe",46,8,45
"Hungary","Europe",87,9,57
"Portugal","Europe",49,7,35
"Switzerland","Europe",50,11,64
"Czech Republic","Europe",47,9,49
"Austria","Europe",43,7,47
"Chile","South America",40,9,49
"Croatia","Europe",35,5,26
"Denmark","Europe",30,5,26
"Paraguay","South America",30,8,38
"Colombia","South America",32,6,30
"United States","North America",37,10,62
"Romania","Europe",30,7,32
"South Korea","Asia",34,10,70
"Nigeria","Africa",23,6,30
"Japan","Asia",20,6,29
"Costa Rica","North America",19,5,28
"Scotland","Europe",25,8,41
"Cameroon","Africa",18,7,43
"Peru","South America",21,5,33
"Bulgaria","Europe",22,7,53
"Turkey","Asia",20,2,17
"Ghana","Africa",13,3,16
"Republic of Ireland","Europe",10,3,10
"Northern Ireland","Europe",13,3,23
"Ecuador","South America",10,3,11
"Senegal","Africa",11,2,10
"Algeria","Africa",13,4,19
"Morocco","Africa",14,5,22
"Saudi Arabia","Asia",11,5,39
"Ivory Coast","Africa",13,3,14
"South Africa","Africa",11,3,16
"Tunisia","Africa",13,5,25
"Iran","Asia",9,5,24
"Australia","Oceania",13,5,31
"Norway","Europe",7,3,8
"East Germany","Europe",5,1,5
"Greece","Europe",5,3,20
"Ukraine","Europe",5,1,7
"Wales","Europe",4,1,4
"Slovakia","Europe",5,1,7
"Slovenia","Europe",5,2,10
"Cuba","North America",5,1,12
"North Korea","Asia",6,2,21
"Bosnia and Herzegovina","Europe",4,1,4
"Jamaica","North America",3,1,9
"New Zealand","Oceania",4,2,14
"Honduras","North America",3,3,14
"Angola","Africa",1,1,2
"Israel","Asia",1,1,3
"Egypt","Africa",5,3,12
"Iceland","Europe",2,1,5
"Kuwait","Asia",2,1,6
"Trinidad and Tobago","North America",0,1,4
"Bolivia","South America",1,3,20
"Iraq","Asia",1,1,4
"Togo","Africa",1,1,6
"Canada","North America",0,1,5
"Indonesia","Asia",0,1,6
"Panama","North America",2,1,11
"United Arab Emirates","Asia",2,1,11
"China PR","Asia",0,1,9
"Haiti","North America",2,1,14
"DR Congo","Africa",0,1,14
"El Salvador","North America",1,2,22
